"id","name_en","public","active","short_description_en","description_en","organization_id","north_star","north_star_2","north_star_3","continent","country","Latitude","Longitude","iso alpha","main_kpi_unit_en","main_kpi_unit_es","main_kpi_unit_fr","secundary_kpi_unit_en","secundary_kpi_unit_es","secundary_kpi_unit_fr","target_kpi","reason_1_en","reason_1_es","reason_1_fr","reason_2_en","reason_2_es","reason_2_fr","reason_3_en","reason_3_es","reason_3_fr","reason_4_en","reason_4_es","reason_4_fr","reason_5_en","reason_5_es","reason_5_fr","reason_6_en","reason_6_es","reason_6_fr","sdg_1","sdg_2","sdg_3","sdg_4","sdg_5","sdg_6","media_1","media_2","media_3","media_4","media_5","media_6","media_7","media_8","media_9","media_10","creation_date"
"8","Protect the Caribbean Sea","True","True","Honduras is one of the most vulnerable countries in the world to climate change. In the last decade, it was the second country most affected by hurricanes, storms or floods. This project aims to reduce coastal degradation and improve the quality of life of the inhabitants.","This biodiversity conservation initiative will be developed in the System of Protected Areas of the Southern Honduras Zone (SAPZsurH), a territory highly vulnerable to climatic phenomena, such as drought and floods. It is a transversal project which includes several conservation and restoration activities of the species and ecosystems of this territory including reforestation, education and training of the population. The economic activities of the population focus on agriculture, animal husbandry and fishing, which are carried out intensively. Extreme poverty is one of the main problems affecting the population, along with a high rate of youth migration. Extractive projects and agro-industry exert strong pressure on natural resources, mainly mangroves and water bodies. The Forest Conservation Institute (ICF) estimates that 52% of mangrove forest cover has been lost over the past 16 years. The proliferation of solid wastes resulting from their mismanagement is also a major problem. In the urban area of ​​the Municipality of Marcovia alone, around 3,195 tons of waste are produced each year, only a part of which is collected due to lack of municipal resources and a sanitary landfill. On the other hand, the agro-industry established in this municipality generates 500 tons of plastic per year which are deposited in landfills; causing a significant emission of 600,154 Kg of CO2 per year into the atmosphere.","CODDEFFAGOLF","biodiversity","reforestation","zero_waste","south_america","Honduras","15","-86.5","HND","hectare(s) restored or preserved","hectárea(s) restauradas o conservadas","hectare(s) restauré(s) ou préservé(s)","per square meter restored or preserved","por metro cuadrado restaurado o conservado","par mètre carré restauré ou preservé","50","Transversal project that encompasses environmental education and reforestation activities","Proyecto transversal que abarca actividades de educación al medio ambiente y reforestación","Projet transversal qui englobe des activités d'éducation environnementale et de reboisement","Project of protection of the mangrove ecosystem: planting 250,000 trees at the end of the project","Proyecto que permite proteger el ecosistema de manglar: plantación de 250,000 arboles al finalizar el proyecto","Protection de l'écosystème de la mangrove: plantation de 250000 arbres à la fin du projet","80 tons of plastic extracted from the natural environment","80 toneladas de plástico extraído del entorno natural","80 tonnes de platique extrait du milieu naturel","250 boys and girls sensitized to the 3 R approach (reduce, reuse, recycle) with innovative educational methodologies through art to raise awareness of solid waste management","250 niños y niñas sensibilizados en el enfoque 3 R (reducir, reutilizar, reciclar) con metodologías de educación novedosas a través del arte para sensibilizar al manejo de residuos sólidos","250 garçons et filles sensibilisés à la démarche des 3 R (réduire, réutiliser, recycler) avec des méthodologies pédagogiques innovantes à travers l'art (théâtre et peinture) pour sensibiliser à la gestion des déchets solides","Organization of reference in the conservation of nature in Honduras, member of the international network IUCN","Organización de referencia en la conservación de la naturaleza en Honduras, miembro de la red internacional UICN","Organisation de référence pour la conservation de la nature au Honduras, membre du réseau international UICN","Promotion of human rights and equitable access to livelihoods for the vulnerable population","Promoción de los derechos humanos y del acceso equitativo de los medios de vida de la población vulnerable","Promotion des droits de l'homme et d’un accès équitable aux moyens de subsistance pour la population vulnérable","poverty","clean","consumption","climate","water","land","","","","","","","","","","",""
"36","Restore French forests","False","False","The project is the result of a collective reflection by actors in the forest-wood sector to face the challenges of our forests. These now need to adapt to climate change and fight against the fall of forest plantations. However, public aid to french forests is low, with forests in the Center-Val-de-Loire receiving no planting aid. Duramen therefore aims to support tree plantations, strengthening the resilience of forests and their biodiversity.","To adapt forests to climate change, preserve and strengthen the sustainable management of their ecosystem, the Duramen association financially supports plantation projects. These projects, with an environmental added value, are led by private or public forest owners in the Center-Val de Loire region. These projects focus on reforestation projects on wasteland or abandoned farmland or the transformations of poor or dying populations. By doing so, Duramen acts for the preservation of these reservoirs of biodiversity.<br><br>Duramen intends to be the trigger of planting projects. Its objective is to support these projects with an aid of up to 2000€ per hectare. This can be decisive for the owner and trigger planting projects that would otherwise not have taken place. Since its creation, the project has supported the planting of more than 118,000 trees and the preservation of 110 hectares of forest.","Duramen","reforestation","biodiversity","","europe","France","46","2","FRA","tree planted","árboles plantados "," arbres plantés ","per tree planted ","por árbol plantado","par arbre planté ","8823","Since Duramen started, 28 plantations have been supported across 110 hectares and more than 118,000 trees have been planted.","Desde su fundación, Duramen ha apoyado 28 plantaciones en 110 hectáreas y se han plantado más de 118.000 árboles.","Depuis la naissance du projet Duramen, 28 plantations ont été soutenues sur 110 hectares et plus de 118 000 arbres ont été plantés.","Preserving forests is essential to fighting climate change (carbon sinks)","La preservación de los bosques desempeñan un papel importante en la lucha contra el cambio climático (sumidero de carbono)","Agir pour la préservation des forêts joue un rôle majeur dans la lutte contre le changement climatique (puits de carbone)","This project preserves biodiversity: forests play an essential role as habitats for plant and animal species.","Preservar la biodiversidad: los bosques desempeñan un papel esencial como hábitat de especies vegetales y animales","Préserver la biodiversité : les forêts jouent un rôle essentiel d’habitats pour les espèces végétales et animales","This project contributes to the sustainable production to wood","El proyecto contribuye a la producción sostenible de madera.","Ce projet contribue à la production durable et responsable de bois","It improves the quality of air and water and preserves soils against erosion and thus prevents floods and landslides","Los bosques mejoran la calidad del aire y del agua y protegen los suelos contra la erosión.","Améliorer la qualité de l’air, de l’eau, préserver les sols contre l’érosion et éviter ainsi les crues et glissements de terrain","This project also incorporates socio-economic benefits determined by forests: source of local jobs and mostly not relocatable, diversity of landscapes, etc.","Contribuir a los beneficios socioeconómicos que aportan los bosques: fuente de puestos de trabajo locales, diversidad paisajística, etc.","Contribuer aux bénéfices socio-économiques apportés par les forêts : source d’emplois locaux et majoritairement non délocalisables, diversité des paysages, lieux de promenade","clean","energy","consumption","climate","land","","","","","","","","","","","",""
"16","Offer sports scholarships to sick children","False","False","The project aims at offering children with cancer in Spain the possibility of training and doing sport, and in this way, helping them to recover energy and smile to face the disease better.","Every year 1,400 new cases of childhood cancer are diagnosed in Spain. Physical exercise has become a fundamental non-pharmacological tool during treatment and in the subsequent phases of maintenance and monitoring. The practice of sport increases muscle strength, decreases systemic inﬂammation and improves immune function, reducing fatigue. For this reason, Fundación Aladina has developed Sports Scholarships for children with cancer and their caregivers. Through these scholarships they pay for specialized physical exercise therapy for children and adolescents with cancer, taught in a specialized center by Elena Santana, a doctor in Physical Activity and Health. 'Children with cancer should do physical exercise because it helps improve tolerance to treatments and helps alleviate side effects.'. For Christmas and to start this new year, let's make sure that children with cancer do not lose their smile by offering them gift cards for exercising.","Fundación Aladina","health","","","europe","Spain","40","-4","ESP","children getting access to the one-month program","niños con acceso al programa de un mes","enfants bénéficiant d'un programme d'un mois","per training session","por cada sesión","par session","1","The practice of physical exercise in cancer patients is essential","La práctica de ejercicio físico en pacientes con cáncer es fundamental","La pratique de l'exercice physique chez les patients atteints de cancer est essentielle","The project allows to join our efforts so that children suffering from cancer do not lose their smile for this Christmas","El proyecto permite unirse para que los niños que sufren cáncer no pierdan la sonrisa para estas navidades","Le projet permet de se regrouper pour que les enfants atteints de cancer ne perdent pas leur sourire pour ce Noël","A scholarship includes 2 training sessions per week for the children, and also allows parents to do a yoga or pilates class","Una beca incluye 2 sesiones de entrenamiento por semana para los niños, y también permite a los padres hacer una clase de yoga o pilates","Une bourse comprend 2 sessions de formation par semaine pour les enfants, et permet également aux parents de faire un cours de yoga ou de pilates","The foundation allows children and their families to improve their hospital stay","La fundación permite a los niños y sus familias mejorar la estancia hospitalaria","La fondation permet aux enfants et à leurs familles d'améliorer leur séjour à l'hôpital","Sport reduces the side effects of treatments such as radio or chemotherapy, increases muscle strength and improves the immune system","El deporte disminuye los efectos secundarios de tratamientos como la radio o la quimioterapia, incrementa la fuerza muscular y mejora el sistema inmune","Le sport réduit les effets secondaires des traitements tels que la radio ou la chimiothérapie, augmente la force musculaire et améliore le système immunitaire","Sport improves the mood of children and helps in the recovery process of minors at all levels","El deporte mejora el estado de ánimo de los niños y ayuda en el proceso de recuperación de los menores a todos los niveles","Le sport améliore l'humeur des enfants et aide au processus de récupération des mineurs à tous les niveaux","health","","","","","","","","","","","","","","","",""
"30","Offer French language courses for refugees and asylum seekers","True","True","Lack of French language abilities undermine the possibilities of refugees and asylum seekers to find adequate jobs and, overall, hinders a successful integration.  The French language school, Thot, contributes to the professional and social integration of migrants by offering language classes and cultural activities. They aim at fighting linguistic precariousness.","Thot (which translates: transmitting a horizon to all) is a french language school that provides <b>asylum seekers and refugees</b> with the right tools to succeed in their <b>social, economic and professional integration in France</b>.<br><br>Classes are open for people who have had little or no schooling in their country. Students get access to a <b>160-hours French course (per language level) and to professional insertion and cultural workshops</b>. Thot commits to lead its learner to obtain the DILF (initial diploma in French language) and DELF (Diploma in French Language Studies) diplomas. In exchange, students pay a symbolic sum of 7 €.<br><br>To make sure that participants can properly benefit from the classes, Thot also offers them <b>support with administrative tasks as well as psychological therapy sessions</b>.<br><br>Donations collected through the NooS platform aim at providing <b>hours of quality language training to over 9 refugees or asylum seekers</b>.","THOT","education","inclusiveness","","europe","France","46","2","FRA","hours of quality language training given to refugees and asylum seekers","horas de formación de calidad en Francés impartida a refugiados","heures de formation linguistique de qualité données à des réfugiés et des demandeurs d’asile","per hour session per student","por hora de formación por estudiante","par heure de formation par élève","1819","Thot was built on the UX design model. They implement an innovative and evolving pedagogy.","Thot se desarrolló basado en principios del diseño UX. Ellos implementan una pedagogía innovadora.","Thot a été construit sur le modèle du UX design. Ils mettent en œuvre une pédagogie innovante et évolutive.","A project designed to meet the needs expressed by the beneficiaries themselves.","Un proyecto diseñado para satisfacer las necesidades expresadas por los propios beneficiarios.","Un projet conçu pour répondre aux besoins exprimés par les bénéficiaires eux-mêmes.","Implementation of a holistic approach: from addressing language precariousness to offering psychological and legal support.","Implementación de un enfoque holístico que va desde combatir la precariedad lingüística hasta ofrecer apoyo psicológico y jurídico.","Mise en œuvre d'une approche holistique : de la lutte contre la précarité linguistique à l'offre d'un soutien psychologique et juridique.","An effective project: to date, Thot has taught French to 630 students. The exam success rate is 87%.","Un proyecto eficaz: hasta la fecha, Thot ha enseñado francés a 630 alumnos. La tasa de éxito en los exámenes es del 87%.","Un projet efficace : à ce jour, Thot a contribué à enseigner le français à 630 personnes exilées. Le taux de réussite aux examens est de 87%.","The project is scalable. A similar school has opened in Lille thanks to Thot’s support.","El proyecto es escalable. Gracias al apoyo de Thot, se ha abierto una escuela similar en Lille.","Le projet est reproductible : une école similaire a ouvert ses portes à Lille grâce au soutien de Thot.","Thot regularly re-evaluates its system and adapts it to the changing reality of the field.","Thot reevalúa periódicamente su sistema y lo adapta a la realidad cambiante del sector.","Thot réévalue régulièrement son dispositif et l'adapte à la réalité évolutive du terrain.","poverty","education","gender","economy","inequalities","","","","","","","","","","","",""
"40","Support exiled women through a mentoring program","True","True","Exiled women are among the most vulnerable groups due to a lack of financial means and professional qualifications. This hinders a successful integration in host countries. UniR’s mentoring program fosters the professional and academic integration of exiled women in France.","<i>Intercultur'elles</i> is UniR's mentoring program that <b>enhances the career paths of refugee and asylum-seeking women through the development of personal, professional, and academic skills</b>. In an intercultural context, the program helps them define their projects and build the future they desire.<br><br><b>Mentors are local women</b> eager to share their professional and life experiences to empower their mentees. Through individual and group sessions, participants work on specific objectives: women explore their academic and professional background, implement projects that are in line with their background and skills, <b>exploit their potential by working on their self-confidence</b>, and learn to develop a network. Mentors and mentees discover each other's culture and share their experiences with each other.<br><br>The participants of the program attend <b>workshops on migration, gender, and interculturality</b> specially designed for this program. The donations collected through NooS support the access of participants to these workshops.","UniR Universités & Réfugié.e.s","inclusiveness","","","europe","France","46","2","FRA","exiled women participating in a mentoring program that fosters inclusion","mujeres exiliadas participando en un programa de mentoría que promueve la inclusión","femmes exilées participant à un programme de mentorat qui favorise l’inclusion","per beneficiary of initiatives promoting inclusion","por beneficiaria de iniciativas que promueven la inlusión","par bénéficiaire d'initiatives qui promeuvent l'inclusion","60","A horizontal approach: all participants (mentors and mentees) acquire common knowledge.","Un enfoque horizontal: todas las participantes (mentoras y alumnas) adquieren una base común de conocimientos.","Une approche horizontale : toutes les participantes (mentores et mentorées) acquièrent une base de connaissances commune.","Mentees participate in the design of the mentoring which reinforces a sustainable implementation.","Las alumnas participan en el diseño de la mentoría lo cual refuerza una implementación sostenible.","Un programme participatif : les mentorées participent à la conception du mentorat.","The program emphasizes the connection between gender and migration to adapt to the real needs of the mentees.","El programa hace hincapié en la conexión entre género y migración para adaptarse a las necesidades reales de las participantes.","Ce programme met en avant les thématiques du genre associées à la migration afin de s'adapter aux besoins réels des mentorées.","The program empowers refugee women, a vulnerable population, and promotes their integration.","El programa empodera a las mujeres refugiadas, una población vulnerable, y promueve su integración.","Le programme renforce l'autonomie des femmes réfugiées, une population vulnérable, et favorise leur intégration.","Mentoring promotes equality and inclusion by developing networks among women from different backgrounds.","La tutoría promueve la igualdad y la inclusión mediante el desarrollo de redes entre mujeres de diferentes orígenes.","Le mentorat favorise l'égalité et l'inclusion en développant des réseaux entre des femmes d'horizons différents.","Intercultur'elles promotes the deconstruction of stereotypes and inequalities faced by exiled women.","El programa promueve la deconstrucción de estereotipos y las desigualdades a las que se enfrentan las mujeres exiliadas.","Le programme encourage la déconstruction des stéréotypes et des inégalités auxquels sont confrontées les femmes en exil.","poverty","education","gender","inequalities","","","","","","","","","","","","",""
"10","Train vulnerable women in entrepreneurship","True","True","In Sub-Saharan Africa, the poverty rate is very high. Women, who are often at home and inactive, are among those most exposed to precariousness. This project provides micro-finance and entrepreneurship support to bring these vulnerable women towards autonomy.","Casamance is a region of Senegal scarred by an armed conflict that lasted more than 30 years. Insecurity in the villages has caused significant movements of the population towards the cities (Ziguinchor and Bignona), in deprived, semi-rural, peripheral neighborhoods with no infrastructure. Formal jobs are extremely rare there and people survive by running a small business, a farm, a sewing workshop, etc. Their precarious situation limits their ability to develop and sustain these income-generating activities. Entrepreneurs du Monde contribue to their socioeconomic emancipation. Already active in Senegal since 2008 with Mutuelles d'Epargne et de Crédit, the French NGO created its own social microfinance program FANSOTO in Casamance, in 2016. It helps women to successfully carry out income-generating activities and improve the living conditions of their families. The program offers advice to access financial services (savings and microcredit), training on entrepreneurship and workshops to raise awareness on social issues (health, women's rights). The training helps women manage purchases, calculate resale prices, and act against competition. In addition, it allows them to better understand their rights.","Entrepreneurs du Monde","education","inclusiveness","","africa","Senegal","14","-14","SEN","hours of entrepreneurship training given to vulnerable women","horas de formación en emprendimiento impartidas a mujeres vulnerables","heures de formation à l'entreprenariat pour des femmes vulnérables","per hour session per woman","por hora de formación por mujer","par heure de formation par femme","1060","Impact measurement adapted to each project thanks to a team dedicated to evaluation","Medición de impacto adaptada a cada proyecto gracias a un equipo dedicado a la evaluación","Mesure d’impact adaptée à chaque projet grâce à une équipe dédiée à la mesure de la performance sociale","Organization that supported more than 150,000 beneficiaries in 12 countries with 22 local programs","Organización que apoyó a más de 150.000 beneficiarios en 12 países con 22 programas locales","Organisation qui a accompagné plus de 150000 bénéficiaires dans 12 pays avec 22 programmes locaux","The women who benefit from the training are highly motivated and want to improve their skills as few went to school","Las mujeres que se benefician de la formación están muy motivadas y quieren mejorar sus habilidades ya que pocas fueron a la escuela","Les femmes qui bénéficient de la formation sont très motivées pour monter en compétences. Peu d’entre elles sont allées à l’école.","Project that promotes the self-esteem of women who are often weakened and isolated","Proyecto que promueve la autoestima de mujeres que muchas veces se encuentran debilitadas y aisladas","Projet qui favorise l’estime de soi des femmes qui sont souvent fragilisées et isolées","The training program allows to create social links and build networks, which is key for the success of the projects","Las formaciones permiten crear vínculos sociales y construir redes, lo que permitirá garantizar el éxito de los proyectos","Les formations permettent de créer des liens sociaux et de construire des réseaux, qui permettront de garantir le succès des projets","Existing project since 2016 and that has obtained very good results","Proyecto existente desde 2016 y que ha obtenido muy buenos resultados","Projet existant depuis 2016 et qui obtient de très bons résultats","poverty","education","gender","economy","inequalities","partnerships","","","","","","","","","","",""
"7","Support disabled children","False","False","Trisomy 21 affects one in 700 pregnancies on average. The most common symptoms are intellectual retardation, poor muscle tone, and delayed language. Support from an early age through physiotherapy and psychomotor skills has proven to be very effective for the development of children.","Bronchiolitis, pneumonia, colic, chronic constipation, gastroesophageal reflux, sinusitis, otitis…. Children with Down’s syndrome, due to their anatomical and physiological characteristics, are more likely to suffer from certain types of respiratory and digestive pathologies that on many occasions lead to hospital admission with all the complications that this entails in family dynamics, such as family absenteeism from school and work, increased drug intake, inability to enjoy recreational activities ... it prevents them from leading a normal life. The Madrid Down Early Attention Center cares for 179 children from 0 to 6 years old with intellectual disabilities or at risk of suffering from it, as well as their families. In addition to offering global stimulation sessions, physical therapy, speech therapy, psychotherapy and psychomotor skills, it offers specific and personalized respiratory and digestive physiotherapy treatments to prevent children from getting worse and having to be admitted. Families are also advised on the prevention of these alterations.","Down Madrid","health","","","europe","Spain","40","-4","ESP","children getting additional access to healthcare","niños y niñas con acceso adicional a servicios de salud","enfants bénéficiant d'un accès supplémentaire aux soins de santé","per children","por niño","par enfant","30","Health comes first","La salud es lo primero","La santé passe avant tout","Contribute to the transformation of our society on the perception of disability","Para contribuir a la transformación de nuestra sociedad sobre la percepción de la discapacidad","Contribuer à la transformation de notre société sur la perception du handicap","For more than 30 years, the Foundation has represented “this necessary human support”","La Fundación realiza desde hace 30 años un trabajo increíble para procurar ser “este abrazo necesario”","La Fondation représente depuis plus de 30 ans “ce soutien humain nécessaire”","When a baby or child is admitted to the hospital, it is important to support families","Cuando un bebé o niño ingresa en el hospital, es fundamental apoyar a su familia","Lorsqu'un bébé ou un enfant est admis à l'hôpital, il est important de soutenir les familles","Children with Down's syndrome should be able to lead a normal life","Para que los niños con síndrome de Down puedan llevar una vida normal","Les enfants trisomiques doivent pouvoir mener une vie normale","Down Madrid is an innovative organization that works with more than 300 companies partners","Porque Down Madrid es una organización innovadora y que trabaja con más de 300 empresas aliadas","Down Madrid est une organisation innovante qui travaille avec plus de 300 entreprises partenaires","health","inequalities","partnerships","","","","","","","","","","","","","",""
"15","Offer food shopping cards to vulnerable families","True","True","This project, developed by Action Against Hunger, aims at leaving no one behind. It allows offering shopping cards to families in Spain with little or no resources so that they can buy food and have access to a healthy diet.","With the socioeconomic crisis amplified by the health crisis produced by Covid-19, Action Against Hunger has developed a new program in Spain to support the people who need it most. The objective is to alleviate the economic impact of the COVID-19 crisis that is affecting thousands of Spanish families. Today, 6 million people are at risk of falling into poverty in Spain. Many of them had never been in need before, but the pandemic has left them without resources to cope. Action Against Hunger has set up an exclusive monetary transfer system (in form of shopping cards) for food expenses focused on healthy food. An average cost of € 346 per month has been estimated. To ensure that the families invest this economic resource in healthy food, awareness-raising actions are carried out. The objective is not to generate a long-term income in the families, but to apply a temporary measure that helps mitigate the effects of the reduction in income on the food security of families in extreme vulnerability.","Acción contra el Hambre","inclusiveness","health","","europe","Spain","40","-4","ESP","people from vulnerable families receiving a food card","personas de familias vulnerables recibiendo una tarjeta de alimentación","personnes issues de familles vulnérables recevant une carte alimentaire","per person","por persona","par personne","102","Support for families at risk of poverty in Spain","Apoyo a familias en riesgo de pobreza en España","Aide aux familles menacées de pauvreté en Espagne","Solidarity in a context of crisis that has aggravated the socioeconomic situation of many people","Solidaridad en un contexto de crisis que ha agravado la situación socioeconómica de mucha gente","Solidarité dans un contexte de crise qui a aggravé la situation socio-économique de nombreuses personnes","So that families can eat every day and have an healthy diet","Para que familias puedan alimentarse cada día","Pour que les familles puissent manger tous les jours","Program that raises awareness of the importance of having a healthy diet","Programa que sensibiliza a la importancia de tener una alimentación saludable","Programme qui sensibilise à l’importance d’une alimentation saine","ACH is a reference at a global level and in Spain to fight against the causes and effects of Hunger","ACH es una organización de referencia a nivel global y en España para luchar contra las causas y los efectos del Hambre","ACH est une organisation de référence au niveau mondial et en Espagne pour lutter contre les causes et les effets de la faim","ACH works with a global perspective that puts the beneficiaries at the center of the process of returning to autonomy","ACH trabaja con una perspectiva global que pone a los beneficiarios al centro del proceso de vuelta a la autonomía","ACH travaille avec une perspective globale qui place les bénéficiaires au centre du processus de retour à l'autonomie","poverty","hunger","health","education","gender","economy","","","","","","","","","","",""
"12","Train young refugees in computer programming","True","True","In 2018, more than 70 million people were forced to become refugees due to geopolitical crises. In addition, only 1 to 3% of people living in refugee camps get access to higher education. Chams NGO promotes access to innovative higher education for young refugee people. This project allows refugees in Jordan to access a seven-month training program in coding..","In 2018, more than 70 million people have been forced to flee their homes and become refugees due to geopolitical crises. In addition, the United Nations forecasts that 280 million people will become refugees by 2050 due to our climate crisis. People living in refugee camps stay there for 17 years on average, but only 1% to 3% have access to higher education. CHAMS, a startup NGO, was created to bring tech education and employment to refugees all around the world.  IN 2019, Chams created a first cohort of 30 students in Jordan at ZAATARI camp, the largest refugee camp in the middle east. This cohort welcomes 50% women and 50% men. The Coding School created by Chams offers seven months intensive training for refugees and Jordanian youth vulnerable population. The methodology is based on a blended approach and the content of the program is highly innovative.","Chams","education","","","asia","Jordan","31","36","JOR","hours of coding classes given to refugees for a 6-month program","horas de formación en programación informática impartidas a personas refugiadas","heures de cours de programmation informatique données à des personnes réfugiées","per hour session per refugee","por hora de formación por persona","par heure de formation par personne","6860","Digital gap issue response","Solución a los problemas sociales causados por la brecha digital","Réponse à la problématique de fracture numérique","It tackles a main social issue linked to the increase in refugees in the world","Respuesta a un problema social mayor vinculado al aumento de refugiados en el mundo","Réponse à un enjeu de société majeur lié à l’augmentation des réfugiés dans le monde","Quality education that integrates learning in computer code, communication and entrepreneurship","Educación de calidad e integral que integra el aprendizaje en código informático, comunicación y emprendimiento","Enseignement de qualité et complet qui intègre des apprentissages en code informatique, communication et entrepreneuriat","Effective program: 70% success so far with students who have completed the 6 months program","Programa eficiente: 70% de éxito hasta ahora con estudiantes que han completado el programa de 6 meses","Programme efficace : 70% de réussite jusqu’ici avec les élèves ayant suivi le programme de 6 mois","Many migrants have found an internship or a job after the program","Muchos migrantes encontraron unas prácticas o un trabajo después de la formación","Beaucoup de migrants ont trouvé un stage ou un emploi après la formation","Innovative methodology that alternates courses and online sessions (blended)","Metodología innovadora que alterna cursos y sesiones online (blended)","Méthodologie innovante qui alterne les cours et les sessions on line (blended)","poverty","education","gender","inequalities","peace","","","","","","","","","","","",""
"14","Support the professional reintegration of ex-offenders","True","True"," An innovative rehabilitation and reintegration program conducted in France by Wake up Café which allows detainees to have continuous support: from preparation within prison to placement in companies. In this way, each <wakeur> can get out of prison in the best possible way and be part of an effective social and professional reintegration process.","WKF develops “inside-outside” support programs to accompany people who have been detained and prepare them to face the challenges of reintegration without recidivism. During detention, a 3-week release preparation course is offered in collaboration with the penitentiary center. Through four modules, this program aims to support ex-offenders by working on self-knowledge, development of potential, citizenship and commitment, and the conception of a professional project. WKF also offers cultural activities during detention that seek to empower people. Once released, wakeurs (out of prison) become part of the WKF community and participate in daily courses tailored to their specific needs until their return to employment. Every morning, they take part in professional preparation workshops run by partner companies (i.e. understanding company codes and cultures, elaboration of a CV, interviews preparation training, etc.). The afternoon activities focus on self-reconstruction (coffee-philosophy, positive communication, sports, eloquence lessons, art therapy, theater, discovery of the French heritage).","Wake up Café","inclusiveness","education","","europe","France","46","2","FRA","ex-offenders getting access to employment & self-reconstruction workshops for a year","ex presidiarios con acceso a talleres de reconstrucción personal y de empleabilidad durante un año","ex détenus ayant accès à des ateliers de reconstruction personnelle et d'employabilité pendant un an","per ex-offender","por exconvicto","par ex-détenu","200","Strong social issue: fighting against recidivism - 60% average French rate versus 8% with WKF support","Respuesta a un reto de sociedad : la lucha contra la reincidencia - 60% de tasa promedio de Francia versus 8% con el apoyo de la WKF","Fort enjeu de société : la lutte contre la récidive - 60% taux moyen Français versus 8% taux avec l’accompagnement WKF","The only association in France to support people leaving prison (from detention to reintegration, from self-reconstruction to employment)","La única asociación en Francia que apoya a las personas que salen de la cárcel (desde la detención hasta la reintegración, desde la autoconstrucción hasta el empleo)","Seule association en France à accompagner les sortants de prison (de la détention à la réinsertion, de la reconstruction de soi à l’emploi)","With WKF, more than 65% of people supported have obtained lasting employment","Con WKF, más del 65% de las personas apoyadas han obtenido un empleo duradero","Avec WKF, plus de 65% de personnes accompagnés ont obtenu un emploi durable","With WKF, an accompanying person costs “only” 6k € / year (against 50k € on average in prison)","Con WKF, un acompañante cuesta “solo” 6k € / año (frente a 50k € de media en prisión)","Avec WKF, un accompagné coûte “seulement” 6k€/an (contre 50k€ en moyenne en prison)","WKF is recognized as an effective and innovative solution to recidivism by public institutions","La WKF es reconocida como una solución eficaz e innovadora a la reincidencia por las instituciones públicas","WKF est reconnue comme une solution efficace et innovante face à la récidive par les institutions publiques","WKF has a wide network of partners in the private world that can help multiplying job offers for beneficiary audiences","WKF cuenta con una red amplia de empresas colaboradoras para proponer ofertas de empleo para los públicos beneficiarios","WKF travaille avec un réseau d’entreprises partenaires pour démultiplier les offres d’emploi pour les publics ciblés","health","education","economy","inequalities","partnerships","","","","","","","","","","","",""
