id,account_id,project_id,date
2594,329,40,2022-04-01
2595,39,34,2022-04-01
2596,2,1,2022-04-01
2597,329,30,2022-04-01
2598,329,14,2022-04-01
2600,1,3,2022-04-01
2593,39,14,2022-04-01
2603,350,28,2022-04-01
4,164,5,2021-10-01
7,218,2,2021-10-01
8,218,10,2021-10-01
9,218,6,2021-10-01
10,75,1,2021-10-01
13,207,25,2021-10-01
11,218,5,2021-10-01
12,218,11,2021-10-01
14,219,14,2021-10-01
16,219,25,2021-10-01
17,219,17,2021-10-01
18,224,8,2021-10-01
19,224,6,2021-10-01
20,224,1,2021-10-01
21,224,2,2021-10-01
23,68,20,2021-10-01
24,219,5,2021-10-01
25,224,12,2021-10-01
26,71,2,2021-10-01
27,71,10,2021-10-01
28,78,15,2021-10-01
30,69,8,2021-10-01
31,204,5,2021-10-01
32,204,17,2021-10-01
35,207,5,2021-10-01
36,207,3,2021-10-01
37,207,6,2021-10-01
34,204,1,2021-10-01
38,208,8,2021-10-01
39,164,17,2021-10-01
41,78,5,2021-10-01
44,176,11,2021-10-01
46,212,15,2021-10-01
47,212,8,2021-10-01
48,212,2,2021-10-01
49,166,2,2021-10-01
50,166,17,2021-10-01
51,166,20,2021-10-01
42,78,11,2021-10-01
43,78,2,2021-10-01
55,207,1,2021-10-01
53,165,8,2021-10-01
57,212,10,2021-10-01
58,166,6,2021-10-01
60,111,6,2021-10-01
61,190,3,2021-10-01
62,190,17,2021-10-01
63,190,1,2021-10-01
64,190,8,2021-10-01
68,148,17,2021-10-01
69,81,1,2021-10-01
65,133,8,2021-10-01
67,70,1,2021-10-01
72,111,5,2021-10-01
74,81,2,2021-10-01
70,68,3,2021-10-01
71,77,3,2021-10-01
75,75,17,2021-10-01
78,138,2,2021-10-01
79,138,3,2021-10-01
81,145,3,2021-10-01
77,132,11,2021-10-01
80,165,1,2021-10-01
84,111,3,2021-10-01
82,72,12,2021-10-01
86,81,4,2021-10-01
88,84,10,2021-10-01
85,69,3,2021-10-01
90,138,8,2021-10-01
87,130,5,2021-10-01
89,77,1,2021-10-01
92,70,5,2021-10-01
93,69,1,2021-10-01
95,130,2,2021-10-01
96,140,8,2021-10-01
97,140,17,2021-10-01
98,69,5,2021-10-01
100,77,17,2021-10-01
101,133,2,2021-10-01
103,165,10,2021-10-01
104,94,10,2021-10-01
105,140,2,2021-10-01
107,87,8,2021-10-01
108,140,1,2021-10-01
109,132,3,2021-10-01
110,133,3,2021-10-01
112,70,17,2021-10-01
116,138,5,2021-10-01
115,77,2,2021-10-01
117,68,8,2021-10-01
118,68,6,2021-10-01
119,87,5,2021-10-01
121,130,17,2021-10-01
122,142,17,2021-10-01
126,148,8,2021-10-01
124,87,3,2021-10-01
125,190,10,2021-10-01
131,145,10,2021-10-01
129,87,1,2021-10-01
130,132,17,2021-10-01
132,70,2,2021-10-01
133,94,4,2021-10-01
135,94,1,2021-10-01
136,133,1,2021-10-01
137,229,5,2021-10-01
138,229,17,2021-10-01
139,229,8,2021-10-01
140,229,3,2021-10-01
142,230,8,2021-10-01
143,231,15,2021-10-01
144,231,2,2021-10-01
146,231,31,2021-10-01
145,231,23,2021-10-01
2606,157,47,2022-04-01
2526,157,47,2022-03-30
2608,218,2,2022-04-01
2609,218,10,2022-04-01
2610,218,6,2022-04-01
2611,75,1,2022-04-01
2613,218,5,2022-04-01
2607,164,5,2022-04-01
2614,218,11,2022-04-01
2615,219,14,2022-04-01
2616,219,8,2022-04-01
2617,219,25,2022-04-01
2618,224,8,2022-04-01
193,2,25,2021-10-01
199,157,30,2021-10-04
221,239,23,2021-10-13
2604,1,8,2022-04-01
181,200,23,2021-10-01
294,157,30,2021-11-01
296,39,12,2021-11-01
241,39,30,2021-10-20
2605,350,40,2022-04-01
297,39,44,2021-11-01
202,39,12,2021-10-04
319,200,23,2021-11-01
210,39,44,2021-10-07
300,184,17,2021-11-01
275,243,23,2021-10-26
292,2,25,2021-11-01
306,39,30,2021-11-01
233,184,17,2021-10-18
301,184,25,2021-11-01
234,184,25,2021-10-18
302,184,42,2021-11-01
235,184,42,2021-10-18
303,184,26,2021-11-01
236,184,26,2021-10-18
304,184,44,2021-11-01
237,184,44,2021-10-18
305,2,17,2021-11-01
238,2,17,2021-10-18
311,38,40,2021-11-01
312,38,31,2021-11-01
314,157,11,2021-11-01
316,200,1,2021-11-01
317,200,22,2021-11-01
189,38,40,2021-10-01
318,200,25,2021-11-01
190,38,31,2021-10-01
320,200,26,2021-11-01
322,164,5,2021-11-01
244,157,11,2021-10-20
325,218,2,2021-11-01
326,218,10,2021-11-01
176,200,1,2021-10-01
327,218,6,2021-11-01
178,200,22,2021-10-01
328,75,1,2021-11-01
179,200,25,2021-10-01
329,207,25,2021-11-01
330,218,5,2021-11-01
331,218,11,2021-11-01
182,200,26,2021-10-01
332,219,14,2021-11-01
333,219,8,2021-11-01
334,219,25,2021-11-01
335,219,17,2021-11-01
336,224,8,2021-11-01
337,224,6,2021-11-01
338,224,1,2021-11-01
339,224,2,2021-11-01
340,71,17,2021-11-01
341,68,20,2021-11-01
342,219,5,2021-11-01
343,224,12,2021-11-01
344,71,2,2021-11-01
345,71,10,2021-11-01
15,219,8,2021-10-01
346,78,15,2021-11-01
22,71,17,2021-10-01
29,75,25,2021-10-01
148,233,26,2021-10-01
150,233,34,2021-10-01
151,233,27,2021-10-01
152,233,29,2021-10-01
196,228,26,2021-10-04
198,228,25,2021-10-04
207,137,17,2021-10-06
208,137,25,2021-10-06
209,137,2,2021-10-06
222,239,17,2021-10-13
223,239,41,2021-10-13
224,239,26,2021-10-13
227,137,42,2021-10-14
248,242,40,2021-10-26
249,242,20,2021-10-26
250,242,37,2021-10-26
252,242,42,2021-10-26
253,235,3,2021-10-26
254,235,44,2021-10-26
255,244,40,2021-10-26
257,244,22,2021-10-26
258,245,10,2021-10-26
259,245,42,2021-10-26
260,245,23,2021-10-26
262,245,3,2021-10-26
263,243,22,2021-10-26
264,243,42,2021-10-26
265,246,44,2021-10-26
267,246,38,2021-10-26
268,246,26,2021-10-26
269,246,17,2021-10-26
270,247,14,2021-10-26
272,247,15,2021-10-26
273,247,21,2021-10-26
274,247,27,2021-10-26
277,248,30,2021-10-27
278,248,38,2021-10-27
279,248,35,2021-10-27
280,248,41,2021-10-27
288,249,25,2021-10-29
289,249,26,2021-10-29
290,249,31,2021-10-29
291,249,2,2021-10-29
348,69,8,2021-11-01
349,204,5,2021-11-01
350,204,17,2021-11-01
351,207,5,2021-11-01
